Training Log:
step 1/6000 loss=3.4125
step 2/6000 loss=3.4424
step 3/6000 loss=3.5045
step 4/6000 loss=3.4744
step 5/6000 loss=3.5070
step 6/6000 loss=3.3921
step 7/6000 loss=3.4484
step 8/6000 loss=3.4895
step 9/6000 loss=3.4007
Run Log:
Timesteps for transformer:2235
Timesteps for FCFS:2235
Timesteps for SJF:2235
Timesteps for RR:2235
Timesteps for SRTF:2235
Timestep 0: Transformer: -0.00084, FCFS: -0.00046, SJF: -0.01, RR: -0.01, SRTF: -0.00046
Timestep 990: Transformer: -7.117109999999999, FCFS: -6.63022, SJF: -7.25225, RR: -7.49122, SRTF: -6.20612
Timestep 1000: Transformer: -7.18931, FCFS: -6.70242, SJF: -7.324450000000001, RR: -7.568020000000001, SRTF: -6.28062
Timestep 1010: Transformer: -7.26151, FCFS: -6.77462, SJF: -7.39665, RR: -7.64482, SRTF: -6.35512
Timestep 1020: Transformer: -7.33371, FCFS: -6.846819999999999, SJF: -7.46885, RR: -7.72162, SRTF: -6.42962
Timestep 1030: Transformer: -7.4059099999999995, FCFS: -6.91902, SJF: -7.54105, RR: -7.79842, SRTF: -6.503889999999999
Timestep 1040: Transformer: -7.47811, FCFS: -6.991219999999999, SJF: -7.61325, RR: -7.87522, SRTF: -6.57609
Timestep 1050: Transformer: -7.55031, FCFS: -7.06342, SJF: -7.68545, RR: -7.95202, SRTF: -6.64829
Timestep 1060: Transformer: -7.62251, FCFS: -7.135619999999999, SJF: -7.75765, RR: -8.02882, SRTF: -6.72049
Timestep 1070: Transformer: -7.69471, FCFS: -7.20782, SJF: -7.82985, RR: -8.10562, SRTF: -6.7926899999999995
Timestep 1080: Transformer: -7.76691, FCFS: -7.2800199999999995, SJF: -7.90205, RR: -8.18242, SRTF: -6.864889999999999
Timestep 1090: Transformer: -7.83911, FCFS: -7.352219999999999, SJF: -7.97425, RR: -8.25922, SRTF: -6.93709
Timestep 1100: Transformer: -7.911309999999999, FCFS: -7.42442, SJF: -8.04645, RR: -8.33602, SRTF: -7.00929
Timestep 1110: Transformer: -7.98351, FCFS: -7.49662, SJF: -8.11865, RR: -8.412820000000002, SRTF: -7.08149
Timestep 1120: Transformer: -8.055710000000001, FCFS: -7.56882, SJF: -8.190850000000001, RR: -8.48962, SRTF: -7.153689999999999
Timestep 1130: Transformer: -8.127910000000002, FCFS: -7.33854, SJF: -8.26305, RR: -8.56642, SRTF: -7.22589
Timestep 1140: Transformer: -8.20011, FCFS: -7.413959999999999, SJF: -8.33525, RR: -8.643220000000001, SRTF: -7.29809
Timestep 1150: Transformer: -8.272310000000001, FCFS: -7.496969999999999, SJF: -8.40745, RR: -8.72002, SRTF: -7.37029
